title,units,description,prereqs,coreqs,grading_type,note,combined
CMPE 130 - Advanced Algorithm Design,3 unit(s),"Design and analysis of data structures and algorithms. Advanced tree structures, hashing, searching and sorting. Divide-and-conquer, greedy and dynamic programming algorithm design techniques.","CMPE 126 , and either ISE 130 or MATH 161A (with grades of C- or better). Computer Engineering or Software Engineering Majors Only.",No corequisites,Letter Graded,No additional notes,"Title: CMPE 130 - Advanced Algorithm Design; description: Design and analysis of data structures and algorithms. Advanced tree structures, hashing, searching and sorting. Divide-and-conquer, greedy and dynamic programming algorithm design techniques.; units: 3 unit(s); prereqs: CMPE 126 , and either ISE 130 or MATH 161A (with grades of C- or better). Computer Engineering or Software Engineering Majors Only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 131 - Software Engineering I,3 unit(s),"Why software engineering? What is software engineering? Software development lifecycle activities: project planning and management requirements analysis, requirement specification. Software design, software testing, verification, validation, and documentation. Software quality assurance and review techniques, software maintenance, team-based projects.","CMPE major: CMPE 126 (C- or better); SE major: CS 46B (C- or better); other majors: CMPE 30 , and MATH 32 or MATH 32H or MATH 32X (C- or better).",No corequisites,Letter Graded,No additional notes,"Title: CMPE 131 - Software Engineering I; description: Why software engineering? What is software engineering? Software development lifecycle activities: project planning and management requirements analysis, requirement specification. Software design, software testing, verification, validation, and documentation. Software quality assurance and review techniques, software maintenance, team-based projects.; units: 3 unit(s); prereqs: CMPE major: CMPE 126 (C- or better); SE major: CS 46B (C- or better); other majors: CMPE 30 , and MATH 32 or MATH 32H or MATH 32X (C- or better).; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 132 - Information Security,3 unit(s),"A study of computer and network security from centralized systems to distributed networks. Cryptology, vulnerabilities and controls. Firewalls, privacy enhanced e-mail, viruses and worms. Case studies will be featured.",CMPE 126 with a C- or better. Computer Engineering or Software Engineering majors only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 132 - Information Security; description: A study of computer and network security from centralized systems to distributed networks. Cryptology, vulnerabilities and controls. Firewalls, privacy enhanced e-mail, viruses and worms. Case studies will be featured.; units: 3 unit(s); prereqs: CMPE 126 with a C- or better. Computer Engineering or Software Engineering majors only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 133 - Software Engineering II,3 unit(s),"Software Architecture, Software Technical Metrics, evaluating products, processes, and resources, improving predictions, products, processes, and resources. Advanced topics such as: Formal Methods, Software Reuse, Reengineering, Client/Server Software Engineering, Computer-Aided Software Engineering, Team-Based Projects.",CMPE 131 with a grade of C- or better.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 133 - Software Engineering II; description: Software Architecture, Software Technical Metrics, evaluating products, processes, and resources, improving predictions, products, processes, and resources. Advanced topics such as: Formal Methods, Software Reuse, Reengineering, Client/Server Software Engineering, Computer-Aided Software Engineering, Team-Based Projects.; units: 3 unit(s); prereqs: CMPE 131 with a grade of C- or better.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 135 - Object-Oriented Analysis and Design,3 unit(s),"Feasibility analysis and system requirements determination, object-oriented design methodology, and information systems design using object-oriented modeling techniques. Emphasis on both theoretical and practical aspects of object-oriented systems analysis and design. Team-based design project.",For SE Majors: CS 46B or for others CMPE 126 . See SJSU Catalog for detail list of prerequisites,No corequisites,Letter Graded Cross-listed with SE 135 . Computer Engineering is responsible for scheduling.,No additional notes,"Title: CMPE 135 - Object-Oriented Analysis and Design; description: Feasibility analysis and system requirements determination, object-oriented design methodology, and information systems design using object-oriented modeling techniques. Emphasis on both theoretical and practical aspects of object-oriented systems analysis and design. Team-based design project.; units: 3 unit(s); prereqs: For SE Majors: CS 46B or for others CMPE 126 . See SJSU Catalog for detail list of prerequisites; coreqs: No corequisites; grading_type: Letter Graded Cross-listed with SE 135 . Computer Engineering is responsible for scheduling."
CMPE 137 - Wireless Mobile Software Engineering,3 unit(s),"Mobility analysis, design principles, techniques, and methods for software systems on a variety of wireless and mobile Internet based computing and communication platforms, such as advanced pocket/tablet PCs, GPS, Bluetooth, Infrared, Wi-Fi, and RFID. Design multi-disciplined mobile project.",CMPE 131 . Computer Engineering or Software Engineering Majors Only.,No corequisites,Letter Graded Cross-listed with SE 137 . Computer Engineering is responsible for scheduling.,No additional notes,"Title: CMPE 137 - Wireless Mobile Software Engineering; description: Mobility analysis, design principles, techniques, and methods for software systems on a variety of wireless and mobile Internet based computing and communication platforms, such as advanced pocket/tablet PCs, GPS, Bluetooth, Infrared, Wi-Fi, and RFID. Design multi-disciplined mobile project.; units: 3 unit(s); prereqs: CMPE 131 . Computer Engineering or Software Engineering Majors Only.; coreqs: No corequisites; grading_type: Letter Graded Cross-listed with SE 137 . Computer Engineering is responsible for scheduling."
CMPE 138 - Database Systems I,3 unit(s),"File organization and storage structure, database system architecture, entity relationship model, normalization techniques, SQL, relational algebra, storage organization, query processing, and concurrency control.",CMPE 126 (with a grade of C- or better). Computer Engineering or Software Engineering Majors Only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 138 - Database Systems I; description: File organization and storage structure, database system architecture, entity relationship model, normalization techniques, SQL, relational algebra, storage organization, query processing, and concurrency control.; units: 3 unit(s); prereqs: CMPE 126 (with a grade of C- or better). Computer Engineering or Software Engineering Majors Only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 139 - Fundamentals of Data Mining,3 unit(s),"Introduction to data management and data mining, data preprocessing, OLAP and data warehousing, frequent pattern mining and association rules, clustering, classification, web mining, web search, recommender systems, social network analysis.",CMPE 126 or CS 146 (with C- or better). Computer Engineering or Software Engineering Majors Only.,No corequisites,Letter Graded Cross-listed with SE 139 . Computer Engineering is responsible for scheduling.,No additional notes,"Title: CMPE 139 - Fundamentals of Data Mining; description: Introduction to data management and data mining, data preprocessing, OLAP and data warehousing, frequent pattern mining and association rules, clustering, classification, web mining, web search, recommender systems, social network analysis.; units: 3 unit(s); prereqs: CMPE 126 or CS 146 (with C- or better). Computer Engineering or Software Engineering Majors Only.; coreqs: No corequisites; grading_type: Letter Graded Cross-listed with SE 139 . Computer Engineering is responsible for scheduling."
CMPE 140 - Computer Architecture and Design,3 unit(s),"Pipelining and timing issues in CPU data-paths. Principles of RISC-type CPU instruction set and architecture. Structural, data and control hazards in a RISC processor, forwarding loops, branch mechanisms. Memory architectures in CPUs such as register files and caches. Misc/Lab: Lecture 2 hours/lab 3 hours.","CMPE 125 (with grade of C- or better), Computer Engineering or Software Engineering Majors Only.",No corequisites,Letter Graded,No additional notes,"Title: CMPE 140 - Computer Architecture and Design; description: Pipelining and timing issues in CPU data-paths. Principles of RISC-type CPU instruction set and architecture. Structural, data and control hazards in a RISC processor, forwarding loops, branch mechanisms. Memory architectures in CPUs such as register files and caches. Misc/Lab: Lecture 2 hours/lab 3 hours.; units: 3 unit(s); prereqs: CMPE 125 (with grade of C- or better), Computer Engineering or Software Engineering Majors Only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 142 - Operating Systems Design,3 unit(s),"Overview: history, concepts, system calls and structures. Management of major components: processes, memory, input/output and files. Design of system calls and device drivers for hardware dependence. Concepts of kernel and shell, file protection and interactive computation.","CMPE 102 , CMPE 126 (all with grades of C- or better). Computer Engineering or Software Engineering Majors Only.Pre/",CMPE 130 (with grade of C- or better).,Letter Graded,No additional notes,"Title: CMPE 142 - Operating Systems Design; description: Overview: history, concepts, system calls and structures. Management of major components: processes, memory, input/output and files. Design of system calls and device drivers for hardware dependence. Concepts of kernel and shell, file protection and interactive computation.; units: 3 unit(s); prereqs: CMPE 102 , CMPE 126 (all with grades of C- or better). Computer Engineering or Software Engineering Majors Only.Pre/; coreqs: CMPE 130 (with grade of C- or better).; grading_type: Letter Graded"
CMPE 146 - Real-Time Embedded System Co-Design,3 unit(s),"Embedded system architecture with real-time operating system including microcontrollers, interfacing techniques for industrial applications using transducers, sensors, and A/D-D/A converters. Hardware/software integration and codesign. Lecture 2 hours/Lab 3 hours.",CMPE 110 and CMPE 127 with grade of C- or better. Computer Engineering or Software Engineering Majors Only.,No corequisites,Letter Graded.,No additional notes,"Title: CMPE 146 - Real-Time Embedded System Co-Design; description: Embedded system architecture with real-time operating system including microcontrollers, interfacing techniques for industrial applications using transducers, sensors, and A/D-D/A converters. Hardware/software integration and codesign. Lecture 2 hours/Lab 3 hours.; units: 3 unit(s); prereqs: CMPE 110 and CMPE 127 with grade of C- or better. Computer Engineering or Software Engineering Majors Only.; coreqs: No corequisites; grading_type: Letter Graded."
CMPE 148 - Computer Networks I,3 unit(s),"Comparative evaluation of network architecture, layering model, standards, protocol examples for ISO and TCP/IP layers. Network applications, transport layer protocols, Internet routing, data link and physical transmissions. Applications in world wide web, file transfer, electronic mail, peer-to-peer and other areas.",For CMPE major: CMPE 124 and CMPE 126 (with a grade of C- or better); for SE major: CMPE 120 and CS 146 (with a grade of C- or better); Computer Engineering or Software Engineering Majors Only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 148 - Computer Networks I; description: Comparative evaluation of network architecture, layering model, standards, protocol examples for ISO and TCP/IP layers. Network applications, transport layer protocols, Internet routing, data link and physical transmissions. Applications in world wide web, file transfer, electronic mail, peer-to-peer and other areas.; units: 3 unit(s); prereqs: For CMPE major: CMPE 124 and CMPE 126 (with a grade of C- or better); for SE major: CMPE 120 and CS 146 (with a grade of C- or better); Computer Engineering or Software Engineering Majors Only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 150 - System Architecture and Electronic Design for Robotics,3 unit(s),"Design and architecture for generating autonomous and human-reliant robots, algorithm development for object perception, electronic design and system integration for cognitive and sensory capabilities of robots, mechanisms for actuation and mobility, fault diagnosis and self-calibration.","CMPE 110 , CMPE 124",No corequisites,Letter Graded,No additional notes,"Title: CMPE 150 - System Architecture and Electronic Design for Robotics; description: Design and architecture for generating autonomous and human-reliant robots, algorithm development for object perception, electronic design and system integration for cognitive and sensory capabilities of robots, mechanisms for actuation and mobility, fault diagnosis and self-calibration.; units: 3 unit(s); prereqs: CMPE 110 , CMPE 124; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 152 - Compiler Design,3 unit(s),"Principles of lexical analysis, finite state automata and parsing; issues of variable declarations, variable types, control statements, function calls, nested scopes and efficient assembler target code.",CMPE 126 and CMPE 102 both with a C- or better,No corequisites,Letter Graded,No additional notes,"Title: CMPE 152 - Compiler Design; description: Principles of lexical analysis, finite state automata and parsing; issues of variable declarations, variable types, control statements, function calls, nested scopes and efficient assembler target code.; units: 3 unit(s); prereqs: CMPE 126 and CMPE 102 both with a C- or better; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 163 - Introduction to Computer Graphics and Augmented Reality,3 unit(s),"Introduction to 2D and 3D vector and pixel graphics, 2D and 3D transformations, world to viewer transformation pipeline, perspective projection, hidden line and surface removal, decoration algorithm and texture mapping, integration of pixel graphics and augmented reality, and hands-on laboratories.",CMPE 127 ; MATH 33LA or MATH 39 or EE 112 . All with a C- or better.Pre/,ENGR 100W .,Letter Graded Cross-listed with SE 163 . Computer Engineering is responsible for scheduling.,No additional notes,"Title: CMPE 163 - Introduction to Computer Graphics and Augmented Reality; description: Introduction to 2D and 3D vector and pixel graphics, 2D and 3D transformations, world to viewer transformation pipeline, perspective projection, hidden line and surface removal, decoration algorithm and texture mapping, integration of pixel graphics and augmented reality, and hands-on laboratories.; units: 3 unit(s); prereqs: CMPE 127 ; MATH 33LA or MATH 39 or EE 112 . All with a C- or better.Pre/; coreqs: ENGR 100W .; grading_type: Letter Graded Cross-listed with SE 163 . Computer Engineering is responsible for scheduling."
CMPE 165 - Software Engineering Process Management,3 unit(s),"Integrated approach to managing development within small teams; including mission statement, synthesis of design concepts, tradeoff studies, risk assessment and the interactions encountered in the optimal design, development, manufacture and test of systems.",CMPE 131 with a C- or better.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 165 - Software Engineering Process Management; description: Integrated approach to managing development within small teams; including mission statement, synthesis of design concepts, tradeoff studies, risk assessment and the interactions encountered in the optimal design, development, manufacture and test of systems.; units: 3 unit(s); prereqs: CMPE 131 with a C- or better.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 172 - Enterprise Software Platforms,3 unit(s),"Introduction to enterprise software systems. Covers network operating systems, DBMS, transaction monitors, groupware, distributed objects, system management and the Web. Covers standards such as J2EE, CORBA, SQL, JDBC, and HTTP; and emerging software technologies.",CMPE 142 or CS 149 with grade of C- or better. Computer Engineering or Software Engineering Majors Only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 172 - Enterprise Software Platforms; description: Introduction to enterprise software systems. Covers network operating systems, DBMS, transaction monitors, groupware, distributed objects, system management and the Web. Covers standards such as J2EE, CORBA, SQL, JDBC, and HTTP; and emerging software technologies.; units: 3 unit(s); prereqs: CMPE 142 or CS 149 with grade of C- or better. Computer Engineering or Software Engineering Majors Only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 180 - Individual Studies,1-3 unit(s),Individual work in computer engineering.,Upper division standing and instructor consent. Not available to Open University Students.,No corequisites,Credit/No Credit Cross-listed with SE 180 . Computer Engineering is responsible for scheduling.,No additional notes,Title: CMPE 180 - Individual Studies; description: Individual work in computer engineering.; units: 1-3 unit(s); prereqs: Upper division standing and instructor consent. Not available to Open University Students.; coreqs: No corequisites; grading_type: Credit/No Credit Cross-listed with SE 180 . Computer Engineering is responsible for scheduling.
CMPE 180A - Data Structures and Algorithms in C++,3 unit(s),"Data representation and preprocessing, proximity, finding nearest neighbors, dimensionality reduction, exploratory analysis, association Object-oriented data organization and representation as strings, arrays, stacks, queues, dequeues, lists, sets, trees, tables, and graphs. Sorting and searching and algorithm design and performance analysis. Testing methods and data are discussed.","Admission into MS Artificial Intelligence, MS Computer Engineering or MS Software Engineering.",No corequisites,Credit/No Credit,No additional notes,"Title: CMPE 180A - Data Structures and Algorithms in C++; description: Data representation and preprocessing, proximity, finding nearest neighbors, dimensionality reduction, exploratory analysis, association Object-oriented data organization and representation as strings, arrays, stacks, queues, dequeues, lists, sets, trees, tables, and graphs. Sorting and searching and algorithm design and performance analysis. Testing methods and data are discussed.; units: 3 unit(s); prereqs: Admission into MS Artificial Intelligence, MS Computer Engineering or MS Software Engineering.; coreqs: No corequisites; grading_type: Credit/No Credit"
CMPE 180B - Database Systems,3 unit(s),"File organization and storage structure, database system architecture, entity relationship model, normalization techniques, SQL, relational algebra, storage organization, query processing, and concurrency control.","Admission into MS Artificial Intelligence, MS Computer Engineering or MS Software Engineering.",No corequisites,Credit/No Credit,No additional notes,"Title: CMPE 180B - Database Systems; description: File organization and storage structure, database system architecture, entity relationship model, normalization techniques, SQL, relational algebra, storage organization, query processing, and concurrency control.; units: 3 unit(s); prereqs: Admission into MS Artificial Intelligence, MS Computer Engineering or MS Software Engineering.; coreqs: No corequisites; grading_type: Credit/No Credit"
CMPE 180C - Operating Systems Design,3 unit(s),"History, concepts, system calls and structures. Management of major components: processes, memory, input/output and files. Design of system calls and device drivers for hardware dependence. Concepts of kernel and shell, file protection and interactive computation.",Admission into MS Computer Engineering or MS Software Engineering,No corequisites,Credit/No Credit,No additional notes,"Title: CMPE 180C - Operating Systems Design; description: History, concepts, system calls and structures. Management of major components: processes, memory, input/output and files. Design of system calls and device drivers for hardware dependence. Concepts of kernel and shell, file protection and interactive computation.; units: 3 unit(s); prereqs: Admission into MS Computer Engineering or MS Software Engineering; coreqs: No corequisites; grading_type: Credit/No Credit"
CMPE 180D - Digital Design and Microprocessors,3 unit(s),"Binary codes/number representations, binary arithmetic, combinatorial logic design with gates, logic minimization, decoders, encoders, adders; sequential logic design with latches, flip-flops, registers, counters, state machine design; basic microprocessor architectures (control/data paths) and memory subsystems, asynchronous logic (racing, glitches, timing diagrams).",Admission into MS Computer Engineering,No corequisites,Credit/No Credit,No additional notes,"Title: CMPE 180D - Digital Design and Microprocessors; description: Binary codes/number representations, binary arithmetic, combinatorial logic design with gates, logic minimization, decoders, encoders, adders; sequential logic design with latches, flip-flops, registers, counters, state machine design; basic microprocessor architectures (control/data paths) and memory subsystems, asynchronous logic (racing, glitches, timing diagrams).; units: 3 unit(s); prereqs: Admission into MS Computer Engineering; coreqs: No corequisites; grading_type: Credit/No Credit"
CMPE 181 - Internet of Things Platforms,3 unit(s),"Internet of Things (IoT) landscape, fundamentals, architecture, standards and protocols, software and hardware systems, security, and data analytics. Investigate state-of-the-art IoT platforms. Develop hands-on expertise in IoT system development.","For CMPE major: CMPE 124 and CMPE 126 , both with a C- or better; for SE major: CMPE 120 and CS 146 , both with a C- or better.",No corequisites,Letter Graded,No additional notes,"Title: CMPE 181 - Internet of Things Platforms; description: Internet of Things (IoT) landscape, fundamentals, architecture, standards and protocols, software and hardware systems, security, and data analytics. Investigate state-of-the-art IoT platforms. Develop hands-on expertise in IoT system development.; units: 3 unit(s); prereqs: For CMPE major: CMPE 124 and CMPE 126 , both with a C- or better; for SE major: CMPE 120 and CS 146 , both with a C- or better.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 182 - Internet of Things Security,3 unit(s),"Secure Internet of Things (IoT) system design, vulnerabilities, attacks, and countermeasures, principles of privacy-by-design, secure IoT system development and lifecycle. Blockchains, distributed consensus, and identity management systems for connected devices.","CMPE 126 or CS 146 , with a C- or better.",No corequisites,Letter Graded,No additional notes,"Title: CMPE 182 - Internet of Things Security; description: Secure Internet of Things (IoT) system design, vulnerabilities, attacks, and countermeasures, principles of privacy-by-design, secure IoT system development and lifecycle. Blockchains, distributed consensus, and identity management systems for connected devices.; units: 3 unit(s); prereqs: CMPE 126 or CS 146 , with a C- or better.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 183 - Cryptocurrencies and Blockchains,3 unit(s),"Technical aspects of cryptocurrencies, blockchains, distributed consensus, and decentralized applications. Basics of Bitcoin and Ethereum including Byzantine agreement, smart contracts and solidity as well as legal aspects, regulations and token economics.",CMPE 126 or CS 146 .,No corequisites,Letter Graded,No additional notes,"Title: CMPE 183 - Cryptocurrencies and Blockchains; description: Technical aspects of cryptocurrencies, blockchains, distributed consensus, and decentralized applications. Basics of Bitcoin and Ethereum including Byzantine agreement, smart contracts and solidity as well as legal aspects, regulations and token economics.; units: 3 unit(s); prereqs: CMPE 126 or CS 146 .; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 185 - Autonomous Mobile Robots,3 unit(s),"Basic concepts and algorithms for mobile robots that act autonomously in complex environments. Emphasis on mobile robot locomotion and kinematics, environment perception, probabilistic map-based localization and mapping, motion planning, and programming in Robot Operating System (ROS).","ISE 130 or MATH 161A ; and MATH 33LA ; and, CMPE 126 or CS 146 .",No corequisites,Letter Graded,No additional notes,"Title: CMPE 185 - Autonomous Mobile Robots; description: Basic concepts and algorithms for mobile robots that act autonomously in complex environments. Emphasis on mobile robot locomotion and kinematics, environment perception, probabilistic map-based localization and mapping, motion planning, and programming in Robot Operating System (ROS).; units: 3 unit(s); prereqs: ISE 130 or MATH 161A ; and MATH 33LA ; and, CMPE 126 or CS 146 .; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 187 - Software Quality Engineering,3 unit(s),"Software testing and quality assurance engineering concepts, processes, models, criteria, and methods. Software unit testing, integration, function validation, system performance and reliability evaluation; Software security testing methods and tools; software quality management, control systems, standards, and evaluation metrics.",CMPE 131 with a C- or better. Computer Engineering or Software Engineering Majors Only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 187 - Software Quality Engineering; description: Software testing and quality assurance engineering concepts, processes, models, criteria, and methods. Software unit testing, integration, function validation, system performance and reliability evaluation; Software security testing methods and tools; software quality management, control systems, standards, and evaluation metrics.; units: 3 unit(s); prereqs: CMPE 131 with a C- or better. Computer Engineering or Software Engineering Majors Only.; coreqs: No corequisites; grading_type: Letter Graded"
